training_size,Convex only_RelL2,Convex only_beta_star,Additive_RelL2,Additive_beta_star,Smooth_RelL2,Smooth_beta_star,Additive+Smooth_RelL2,Additive+Smooth_beta_star
20,0.5451,,0.5935,,0.4394,5.8594,0.5722,13.6719
40,0.4440,,0.7262,,0.4298,251.9531,0.7022,3.9062
60,0.3898,,0.7116,,0.3779,652.3438,0.6719,0.9766
80,0.3481,,0.7191,,0.3447,832.0312,0.6906,0.9766
100,0.3505,,0.7522,,0.3484,970.7031,0.7424,0.9766
120,0.3304,,0.7525,,0.3275,970.7031,0.7453,0.9766
140,0.2973,,0.7533,,0.2955,970.7031,0.7467,0.9766
160,0.2823,,0.7659,,0.2808,970.7031,0.7421,0.9766
180,0.2765,,0.7657,,0.2733,955.0781,0.7425,0.9766
200,0.2687,,0.7661,,0.2679,955.0781,0.7444,0.9766
220,0.2681,,0.7772,,0.2674,955.0781,0.7522,0.9766
240,0.2719,,0.7767,,0.2711,955.0781,0.7523,0.9766
260,0.2669,,0.8051,,0.2684,916.0156,0.7856,0.9766
