training_size,Convex only_RelL2,Convex only_beta_star,Additive_RelL2,Additive_beta_star,Smooth_RelL2,Smooth_beta_star,Additive+Smooth_RelL2,Additive+Smooth_beta_star
20,0.5407,,0.5896,,0.4449,5.8594,0.5749,17.5781
40,0.4641,,0.7254,,0.4001,78.1250,0.7044,3.9062
60,0.4248,,0.7163,,0.2655,3.9062,0.6742,0.9766
80,0.4022,,0.7184,,0.2628,3.9062,0.6882,0.9766
100,0.4587,,0.7502,,0.2789,3.9062,0.7369,0.9766
120,0.4057,,0.7496,,0.2958,3.9062,0.7400,0.9766
140,0.3859,,0.7519,,0.3039,3.9062,0.7428,0.9766
160,0.3600,,0.7633,,0.2867,3.9062,0.7409,0.9766
180,0.4011,,0.7616,,0.2695,3.9062,0.7415,0.9766
200,0.3892,,0.7623,,0.2669,3.9062,0.7419,0.9766
220,0.3604,,0.7761,,0.2435,3.9062,0.7538,0.9766
240,0.3901,,0.7727,,0.2534,3.9062,0.7538,0.9766
260,0.3526,,0.8084,,0.2433,3.9062,0.7868,0.9766
