training_size,nonparametric_test_MAE,nonparametric_test_MAPE,nonparametric_train_MAE,nonparametric_train_MAPE,nonparametric_epsilon,smooth_np_test_MAE,smooth_np_test_MAPE,smooth_np_train_MAE,smooth_np_train_MAPE,smooth_np_epsilon,additive_np_test_MAE,additive_np_test_MAPE,additive_np_train_MAE,additive_np_train_MAPE,additive_np_epsilon,smooth_add_np_test_MAE,smooth_add_np_test_MAPE,smooth_add_np_train_MAE,smooth_add_np_train_MAPE,smooth_add_np_epsilon
20,0.559555724259401,17.68608682524742,0.0395752905799888,1.426051381654755,1.3764105972728004e-11,0.2976448078374442,9.293100898094062,0.031423632055521,1.116057276725769,2e-06,0.458915931023638,14.45485627964114,0.0,0.0,1e-06,0.2581973835086751,7.977547996372481,3.2037695566240474e-05,0.001135511371994,1e-06
40,0.4569642816390108,14.56831637075756,0.0266833977838243,0.6824987403695975,1.0421671628646554e-10,0.3158466920501577,10.121399582389678,0.0490614995360374,1.6541845798492432,2e-06,0.4025966874873705,12.92351054990601,0.0,0.0,1e-06,0.2264483174044955,6.9181088059300695,2.4351348478798275e-05,0.0008039920097905,1e-06
60,0.4432800481476722,13.943635938268017,0.0495311454327194,1.3785803523519586,3.3411904161303365e-11,0.2602075283853109,8.149252441163652,0.0660809576511383,2.15498685836792,2e-06,0.3712588273779423,11.91634014622536,0.0,0.0,1e-06,0.2063163052946618,6.339807559852673,2.7032589810240075e-05,0.0009468877847787,1e-06
80,0.4149441871798032,13.125743425015637,0.0578456807145579,1.7097965688814831,3.2112908186114705e-11,0.2549647082736956,7.96147597919721,0.0572713837027549,1.893525242805481,2e-06,0.3450177144765988,11.03503842851084,0.0,0.0,1e-06,0.1965869356791799,5.994774230425264,2.8099913560886147e-05,0.001004418119534,1e-06
100,0.3824113873264921,12.037666141130847,0.1178945702673692,3.67259061017582,1.0264343812605187e-14,0.2292242759337308,7.039788249544032,0.0496605969965457,1.6476471424102783,2e-06,0.3213691331915567,10.32033958313089,0.0,0.0,1e-06,0.057114253162268,1.748964536079496,0.0002416792167076,0.0077485684734835,1e-06
120,0.372881094145652,11.813828583296372,0.1206017529988089,3.7531243766077873,1.00178784306998e-09,0.2244967013240536,6.882560643368809,0.0609952919185161,1.9992599487304688,2e-06,0.304867862541197,9.82294873347509,0.0,0.0,1e-06,0.1773220428196394,5.315167938290165,3.369073600053933e-05,0.0011795211592535,1e-06
140,0.3551880199745833,11.235022980672596,0.094988374978909,3.070776896261819,4.052209205323645e-10,0.2211291759662379,6.766327655174092,0.0556172057986259,1.825040936470032,2e-06,0.2928515519210545,9.412149698057547,0.0,0.0,1e-06,0.1714235138876297,5.124641793973359,3.2245861170809854e-05,0.001168994841028,1e-06
160,0.3557142644274345,11.1863318103984,0.0947164255211283,2.9434500515011366,2.2719494494645595e-10,0.2167979020277483,6.6620291478886,0.0560538284480571,1.844845175743103,2e-06,0.2871592266062855,9.227339629752995,0.0,0.0,1e-06,0.167984451982634,5.016222596054497,3.344403255942069e-05,0.0012268456347843,1e-06
180,0.3428894620491205,10.776228347116358,5.604320901656698,2.847244856360234,1.401338723810207e-10,0.2107578250944047,6.551047111929689,0.0550679787993431,1.827532768249512,2e-06,0.2794475569377173,8.996369222822349,0.0,0.0,1e-06,0.1606579647047189,4.813523702065711,3.55335374569611e-05,0.0013065038648613,1e-06
200,0.3340563437206053,10.617443372644216,0.1215349400791303,3.844928934134826,4.0569777599028434e-13,0.2074154780127072,6.411884105563203,0.0525557175278663,1.7202529907226562,2e-06,0.2717476117397437,8.770610635488316,0.0,0.0,1e-06,0.0392469858133858,1.206953039221467,2.240102761866869e-05,0.0007517806546525,1e-06
220,0.3302840652645921,10.443740294275676,0.1378940664082431,4.374595928651635,5.533809373847283e-12,0.2040859770427604,6.313551204426885,0.0481047630310058,1.572188138961792,2e-06,0.2659160219846944,8.555325589105852,0.0,0.0,1e-06,0.1535423773709674,4.610381083748706,3.836957516195212e-05,0.0013961382512497,1e-06
240,0.329029919738586,10.396305633718514,0.1357734340329407,4.336107836110379,3.7223311068901586e-11,0.2000485826272282,6.204533816324467,0.0478962659835815,1.561001181602478,2e-06,0.2639713402524427,8.485910974935154,0.0,0.0,1e-06,0.1518868258682595,4.573893046955658,3.878491785884286e-05,0.0014283836681786,1e-06
260,0.3156655069850343,10.015165763324395,3.914954214432098,3.034564185663494,1.861405184763538e-11,0.193995621278546,5.977105359183208,0.0464953295886516,1.5028023719787598,2e-06,0.2616903155352177,8.388040687979124,0.0,0.0,1e-06,0.1509657455244567,4.500685041508577,3.820357180534229e-05,0.0013954758852153,1e-06
20,0.458915931023638,14.45485627964114,,,,,,,,,,,,,,,,,,
40,0.4025966874873705,12.92351054990601,,,,,,,,,,,,,,,,,,
60,0.3712588273779423,11.91634014622536,,,,,,,,,,,,,,,,,,
80,0.3450177144765988,11.03503842851084,,,,,,,,,,,,,,,,,,
100,0.3213691331915567,10.32033958313089,,,,,,,,,,,,,,,,,,
120,0.304867862541197,9.82294873347509,,,,,,,,,,,,,,,,,,
140,0.2928515519210545,9.412149698057547,,,,,,,,,,,,,,,,,,
160,0.2871592266062855,9.227339629752995,,,,,,,,,,,,,,,,,,
180,0.2794475569377173,8.996369222822349,,,,,,,,,,,,,,,,,,
200,0.2717476117397437,8.770610635488316,,,,,,,,,,,,,,,,,,
220,0.2659160219846944,8.555325589105852,,,,,,,,,,,,,,,,,,
240,0.2639713402524427,8.485910974935154,,,,,,,,,,,,,,,,,,
260,0.2616903155352177,8.388040687979124,,,,,,,,,,,,,,,,,,
20,0.458915931023638,14.45485627964114,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,0.0820678894324711,2.672272214593668,2.861325663931158e-05,0.0010810035194989,1e-06
150,,,,,,,,,,,,,,,,0.0449612166251658,1.38120276575696,1.7527448866373846e-05,0.0006209646629429,1e-06
250,,,,,,,,,,,,,,,,0.0332511999822589,1.030119059767279,6.203787212132683e-05,0.0021550520097632,1e-06
300,,,,,,,,,,,,,,,,0.030618882970845,0.9445052315271756,6.437546229255926e-05,0.0022434893933046,1e-06
350,,,,,,,,,,,,,,,,0.0289249366662554,0.8930304268727186,2.2239195759479826e-05,0.0008005542074231,1e-06
400,,,,,,,,,,,,,,,,0.0270021715613862,0.8296790135615079,3.865096024257969e-05,0.0013951287025782,1e-06
500,,,,,,,,,,,,,,,,0.0241003095144479,0.752608483030837,2.787316245576688e-05,0.0010125198603542,1e-06
600,,,,,,,,,,,,,,,,0.0223894372471967,0.6919640827196122,4.404419982603584e-05,0.0015233881049787,1e-06
700,,,,,,,,,,,,,,,,0.0170541549516675,0.5093850151562487,0.0003404742716388,0.0123339326225981,1e-06
800,,,,,,,,,,,,,,,,0.0154503941573649,0.4646004651156266,0.0003583942223976,0.0128437391376696,1e-06
900,,,,,,,,,,,,,,,,0.0142828604159921,0.4300173636144619,0.0004209790442144,0.0153572131274277,1e-06
1000,,,,,,,,,,,,,,,,0.013629346301248,0.4089065760694277,0.000381382939261,0.0135674028808091,1e-06
1100,,,,,,,,,,,,,,,,0.0132184870405204,0.396032823276215,0.0003953204577777,0.0140180960580945,1e-06
1200,,,,,,,,,,,,,,,,0.012572991832068,0.3776023917979575,0.0003983165797672,0.0143206508121595,1e-06
1300,,,,,,,,,,,,,,,,0.0120790351884043,0.3635561223706577,0.0004374794151126,0.0153290272366361,1e-06
1400,,,,,,,,,,,,,,,,0.0116584350371394,0.3507444284732323,0.0004369526067394,0.0152996991608923,1e-06
1500,,,,,,,,,,,,,,,,0.0110540990286766,0.3335178167768141,0.0004367813205455,0.0153356957905727,1e-06
1600,,,,,,,,,,,,,,,,0.010921648496457,0.3286179791973846,0.0004292087624681,0.0151741944091833,1e-06
1700,,,,,,,,,,,,,,,,0.0103847696183648,0.3138780844160541,0.0004368803075117,0.015464887557067,1e-06
1800,,,,,,,,,,,,,,,,0.0101813117153217,0.3077311300420948,0.0004302713999032,0.0152241490137425,1e-06
1900,,,,,,,,,,,,,,,,0.0096591854830953,0.2927028895141652,0.0004042137982106,0.01453411578811,1e-06
2000,,,,,,,,,,,,,,,,0.0093472862786738,0.2831540349488483,0.0004090571286187,0.0146437665510127,1e-06
2100,,,,,,,,,,,,,,,,0.0276483314634289,1.0297230344171815,0.0238019879258375,0.9089222189023632,1e-06
2200,,,,,,,,,,,,,,,,0.0276197819378641,1.0325846822079976,0.0237287701583733,0.9096862439793776,1e-06
2300,,,,,,,,,,,,,,,,0.0275756439868549,1.0300602242250072,0.0236187848694358,0.907446799597804,1e-06
2400,,,,,,,,,,,,,,,,0.026964483792363,1.0106479114313125,0.0232888743994192,0.8971258600531499,1e-06
2500,,,,,,,,,,,,,,,,0.0272412885300947,1.0218662027776046,0.023433259937931,0.902545009391313,1e-06
2600,,,,,,,,,,,,,,,,0.02717791632083894,1.0196514072192762,0.02327403226972183,0.8974359334146803,1e-06
