utility,model,regime,size,rep,RelL2,beta_star
smooth,Additive,not-perturbed,200,1,0.105400,
smooth,Additive,not-perturbed,200,0,0.105600,
smooth,Additive,not-perturbed,200,3,0.103700,
smooth,Additive,not-perturbed,200,2,0.102100,
smooth,Convex only,not-perturbed,200,2,0.123600,
smooth,Convex only,not-perturbed,200,1,0.127500,
smooth,Convex only,not-perturbed,200,3,0.125400,
smooth,Convex only,not-perturbed,200,0,0.130900,
smooth,Additive,not-perturbed,200,4,0.106400,
smooth,Convex only,not-perturbed,200,4,0.133200,
smooth,Additive,not-perturbed,200,5,0.104500,
smooth,Convex only,not-perturbed,200,5,0.129600,
smooth,Additive,not-perturbed,200,6,0.105400,
smooth,Convex only,not-perturbed,200,6,0.128000,
smooth,Convex only,not-perturbed,200,7,0.129400,
smooth,Additive+Smooth,not-perturbed,200,0,0.056800,
smooth,Additive,not-perturbed,200,7,0.101400,
smooth,Additive+Smooth,not-perturbed,200,2,0.053700,
smooth,Additive+Smooth,not-perturbed,200,3,0.056200,
smooth,Additive+Smooth,not-perturbed,200,1,0.055400,
smooth,Additive+Smooth,not-perturbed,200,5,0.055500,
smooth,Additive,not-perturbed,200,8,0.107600,
smooth,Convex only,not-perturbed,200,8,0.129600,
smooth,Convex only,not-perturbed,200,9,0.134400,
smooth,Additive,not-perturbed,200,9,0.108400,
smooth,Additive+Smooth,not-perturbed,200,6,0.055900,
smooth,Additive+Smooth,not-perturbed,200,4,0.060600,
smooth,Convex only,not-perturbed,200,10,0.131700,
smooth,Additive,not-perturbed,200,10,0.108100,
smooth,Additive+Smooth,not-perturbed,200,8,0.056200,
smooth,Convex only,not-perturbed,200,11,0.123300,
smooth,Additive,not-perturbed,200,11,0.104400,
smooth,Additive+Smooth,not-perturbed,200,9,0.056400,
smooth,Additive+Smooth,not-perturbed,200,7,0.062000,
smooth,Convex only,not-perturbed,200,12,0.127900,
smooth,Additive,not-perturbed,200,12,0.105700,
smooth,Additive+Smooth,not-perturbed,200,10,0.065700,
smooth,Additive+Smooth,not-perturbed,200,11,0.054200,
smooth,Convex only,not-perturbed,200,13,0.123200,
smooth,Additive,not-perturbed,200,13,0.102700,
smooth,Additive+Smooth,not-perturbed,200,12,0.065400,
smooth,Additive+Smooth,not-perturbed,200,13,0.053400,
smooth,Convex only,not-perturbed,200,14,0.133100,
smooth,Additive,not-perturbed,200,14,0.107300,
smooth,Smooth,not-perturbed,200,2,0.081300,
smooth,Smooth,not-perturbed,200,5,0.083300,
smooth,Smooth,not-perturbed,200,7,0.082700,
smooth,Additive,not-perturbed,200,15,0.107200,
smooth,Additive+Smooth,not-perturbed,200,14,0.056600,
smooth,Convex only,not-perturbed,200,15,0.127400,
smooth,Convex only,not-perturbed,200,16,0.125300,
smooth,Additive,not-perturbed,200,16,0.103300,
smooth,Smooth,not-perturbed,200,3,0.083600,
smooth,Additive+Smooth,not-perturbed,200,15,0.064900,
smooth,Smooth,not-perturbed,200,4,0.083000,
smooth,Convex only,not-perturbed,200,17,0.126000,
smooth,Additive,not-perturbed,200,17,0.107500,
smooth,Smooth,not-perturbed,200,8,0.083800,
smooth,Convex only,not-perturbed,200,18,0.127500,
smooth,Smooth,not-perturbed,200,6,0.084300,
smooth,Additive,not-perturbed,200,18,0.103800,
smooth,Smooth,not-perturbed,200,1,0.080800,
smooth,Smooth,not-perturbed,200,11,0.081500,
smooth,Additive+Smooth,not-perturbed,200,16,0.062600,
smooth,Convex only,not-perturbed,200,19,0.126000,
smooth,Additive+Smooth,not-perturbed,200,17,0.056100,
smooth,Additive,not-perturbed,200,19,0.104700,
smooth,Additive,perturbed,200,0,0.119200,
smooth,Convex only,perturbed,200,0,0.128400,
smooth,Additive+Smooth,not-perturbed,200,18,0.052700,
smooth,Smooth,not-perturbed,200,13,0.079100,
smooth,Additive,perturbed,200,1,0.117900,
smooth,Convex only,perturbed,200,1,0.125800,
smooth,Additive+Smooth,not-perturbed,200,19,0.056100,
smooth,Convex only,perturbed,200,2,0.124700,
smooth,Additive,perturbed,200,2,0.113600,
smooth,Smooth,not-perturbed,200,10,0.080400,
smooth,Smooth,not-perturbed,200,12,0.085300,
smooth,Additive+Smooth,perturbed,200,1,0.083500,
smooth,Additive+Smooth,perturbed,200,0,0.092200,
smooth,Convex only,perturbed,200,3,0.125700,
smooth,Additive,perturbed,200,3,0.118400,
smooth,Additive+Smooth,perturbed,200,2,0.062400,
smooth,Convex only,perturbed,200,4,0.128900,
smooth,Additive,perturbed,200,4,0.119200,
smooth,Additive+Smooth,perturbed,200,3,0.067600,
smooth,Convex only,perturbed,200,5,0.128000,
smooth,Additive,perturbed,200,5,0.118800,
smooth,Additive+Smooth,perturbed,200,4,0.060300,
smooth,Smooth,not-perturbed,200,9,0.082200,
smooth,Convex only,perturbed,200,6,0.126300,
smooth,Smooth,not-perturbed,200,0,0.083400,
smooth,Additive,perturbed,200,6,0.120300,
smooth,Additive+Smooth,perturbed,200,5,0.085000,
smooth,Convex only,perturbed,200,7,0.125300,
smooth,Additive,perturbed,200,7,0.111900,
smooth,Additive+Smooth,perturbed,200,6,0.066200,
smooth,Additive+Smooth,perturbed,200,7,0.064700,
smooth,Convex only,perturbed,200,8,0.125300,
smooth,Additive,perturbed,200,8,0.126300,
smooth,Smooth,not-perturbed,200,14,0.083500,
smooth,Additive+Smooth,perturbed,200,8,0.062400,
smooth,Convex only,perturbed,200,9,0.132400,
smooth,Additive,perturbed,200,9,0.127000,
smooth,Smooth,not-perturbed,200,19,0.085400,
smooth,Additive+Smooth,perturbed,200,9,0.059700,
smooth,Convex only,perturbed,200,10,0.129900,
smooth,Additive,perturbed,200,10,0.119000,
smooth,Smooth,not-perturbed,200,15,0.082100,
smooth,Additive+Smooth,perturbed,200,10,0.102100,
smooth,Convex only,perturbed,200,11,0.122600,
smooth,Additive,perturbed,200,11,0.115200,
smooth,Smooth,not-perturbed,200,18,0.081300,
smooth,Smooth,not-perturbed,200,16,0.083000,
smooth,Convex only,perturbed,200,12,0.129600,
smooth,Smooth,not-perturbed,200,17,0.081300,
smooth,Additive,perturbed,200,12,0.116900,
smooth,Additive+Smooth,perturbed,200,11,0.098900,
smooth,Convex only,perturbed,200,13,0.125000,
smooth,Additive,perturbed,200,13,0.116300,
smooth,Additive+Smooth,perturbed,200,12,0.099100,
smooth,Additive+Smooth,perturbed,200,13,0.058000,
smooth,Convex only,perturbed,200,14,0.130700,
smooth,Additive,perturbed,200,14,0.117800,
smooth,Smooth,perturbed,200,5,0.115200,
smooth,Additive+Smooth,perturbed,200,14,0.099900,
smooth,Convex only,perturbed,200,15,0.127600,
smooth,Additive,perturbed,200,15,0.122000,
smooth,Smooth,perturbed,200,2,0.112700,
smooth,Smooth,perturbed,200,8,0.121300,
smooth,Convex only,perturbed,200,16,0.123300,
smooth,Additive+Smooth,perturbed,200,15,0.064300,
smooth,Additive,perturbed,200,16,0.116400,
smooth,Smooth,perturbed,200,3,0.118800,
smooth,Convex only,perturbed,200,17,0.130600,
smooth,Additive,perturbed,200,17,0.120100,
smooth,Additive+Smooth,perturbed,200,16,0.068100,
smooth,Additive+Smooth,perturbed,200,17,0.074600,
smooth,Convex only,perturbed,200,18,0.124800,
smooth,Additive,perturbed,200,18,0.115200,
smooth,Smooth,perturbed,200,9,0.115900,
smooth,Additive+Smooth,perturbed,200,18,0.095700,
smooth,Convex only,perturbed,200,19,0.123300,
smooth,Additive,perturbed,200,19,0.117200,
smooth,Smooth,perturbed,200,1,0.116000,
smooth,Smooth,perturbed,200,4,0.112900,
nonsmooth,Convex only,not-perturbed,200,0,0.268700,
smooth,Additive+Smooth,perturbed,200,19,0.067300,
nonsmooth,Additive,not-perturbed,200,0,0.766100,
nonsmooth,Additive+Smooth,not-perturbed,200,0,0.744500,
nonsmooth,Convex only,not-perturbed,200,1,0.270700,
nonsmooth,Additive,not-perturbed,200,1,0.779200,
smooth,Smooth,perturbed,200,0,0.113600,
nonsmooth,Additive+Smooth,not-perturbed,200,1,0.745500,
nonsmooth,Convex only,not-perturbed,200,2,0.270200,
nonsmooth,Additive,not-perturbed,200,2,0.780500,
smooth,Smooth,perturbed,200,6,0.108700,
nonsmooth,Additive+Smooth,not-perturbed,200,2,0.754000,
nonsmooth,Convex only,not-perturbed,200,3,0.283600,
nonsmooth,Additive,not-perturbed,200,3,0.767900,
smooth,Smooth,perturbed,200,7,0.108700,
nonsmooth,Additive+Smooth,not-perturbed,200,3,0.742500,
nonsmooth,Convex only,not-perturbed,200,4,0.285200,
nonsmooth,Additive,not-perturbed,200,4,0.787100,
smooth,Smooth,perturbed,200,14,0.089339,11.718750
smooth,Smooth,perturbed,200,11,0.094968,13.671875
smooth,Smooth,perturbed,200,13,0.095504,13.671875
smooth,Smooth,perturbed,200,15,0.096729,13.671875
smooth,Smooth,perturbed,200,17,0.097870,13.671875
smooth,Smooth,perturbed,200,16,0.114138,21.484375
smooth,Smooth,perturbed,200,12,0.114639,21.484375
smooth,Smooth,perturbed,200,10,0.107915,19.531250
nonsmooth,Additive+Smooth,not-perturbed,200,4,0.767685,0.976562
nonsmooth,Convex only,not-perturbed,200,5,0.265769,
nonsmooth,Additive,not-perturbed,200,5,0.775829,
smooth,Smooth,perturbed,200,18,0.088050,11.718750
nonsmooth,Additive+Smooth,not-perturbed,200,5,0.753031,0.976562
nonsmooth,Convex only,not-perturbed,200,6,0.265044,
nonsmooth,Additive,not-perturbed,200,6,0.771071,
smooth,Smooth,perturbed,200,19,0.112647,21.484375
nonsmooth,Additive+Smooth,not-perturbed,200,6,0.754636,0.976562
nonsmooth,Convex only,not-perturbed,200,7,0.292538,
nonsmooth,Additive,not-perturbed,200,7,0.774150,
nonsmooth,Smooth,not-perturbed,200,3,0.280485,507.812500
nonsmooth,Additive+Smooth,not-perturbed,200,7,0.752030,0.976562
nonsmooth,Convex only,not-perturbed,200,8,0.266493,
nonsmooth,Additive,not-perturbed,200,8,0.773552,
nonsmooth,Smooth,not-perturbed,200,2,0.270477,908.203125
nonsmooth,Additive+Smooth,not-perturbed,200,8,0.752818,0.976562
nonsmooth,Convex only,not-perturbed,200,9,0.271071,
nonsmooth,Additive,not-perturbed,200,9,0.793199,
nonsmooth,Smooth,not-perturbed,200,1,0.268557,830.078125
nonsmooth,Additive+Smooth,not-perturbed,200,9,0.773970,0.976562
nonsmooth,Convex only,not-perturbed,200,10,0.274625,
nonsmooth,Additive,not-perturbed,200,10,0.728678,
nonsmooth,Smooth,not-perturbed,200,5,0.263697,892.578125
nonsmooth,Additive+Smooth,not-perturbed,200,10,0.710884,0.976562
nonsmooth,Convex only,not-perturbed,200,11,0.267537,
nonsmooth,Additive,not-perturbed,200,11,0.739789,
nonsmooth,Smooth,not-perturbed,200,0,0.267906,955.078125
nonsmooth,Additive+Smooth,not-perturbed,200,11,0.729469,0.976562
nonsmooth,Convex only,not-perturbed,200,12,0.257260,
nonsmooth,Additive,not-perturbed,200,12,0.773585,
nonsmooth,Smooth,not-perturbed,200,4,0.283779,611.328125
nonsmooth,Additive+Smooth,not-perturbed,200,12,0.742999,0.976562
nonsmooth,Convex only,not-perturbed,200,13,0.289186,
nonsmooth,Additive,not-perturbed,200,13,0.780131,
nonsmooth,Smooth,not-perturbed,200,6,0.262424,925.781250
nonsmooth,Additive+Smooth,not-perturbed,200,13,0.768447,0.976562
nonsmooth,Convex only,not-perturbed,200,14,0.262494,
nonsmooth,Additive,not-perturbed,200,14,0.767196,
nonsmooth,Smooth,not-perturbed,200,11,0.259777,720.703125
nonsmooth,Additive+Smooth,not-perturbed,200,14,0.743711,0.976562
nonsmooth,Convex only,not-perturbed,200,15,0.269264,
nonsmooth,Additive,not-perturbed,200,15,0.780374,
nonsmooth,Smooth,not-perturbed,200,10,0.273177,640.625000
nonsmooth,Additive+Smooth,not-perturbed,200,15,0.759255,0.976562
nonsmooth,Smooth,not-perturbed,200,8,0.262614,900.390625
nonsmooth,Convex only,not-perturbed,200,16,0.278479,
nonsmooth,Additive,not-perturbed,200,16,0.779193,
nonsmooth,Additive+Smooth,not-perturbed,200,16,0.754666,0.976562
nonsmooth,Convex only,not-perturbed,200,17,0.266565,
nonsmooth,Additive,not-perturbed,200,17,0.771410,
nonsmooth,Smooth,not-perturbed,200,9,0.269415,785.156250
nonsmooth,Additive+Smooth,not-perturbed,200,17,0.742906,1.953125
nonsmooth,Convex only,not-perturbed,200,18,0.279861,
nonsmooth,Additive,not-perturbed,200,18,0.781984,
nonsmooth,Smooth,not-perturbed,200,7,0.290278,955.078125
nonsmooth,Additive+Smooth,not-perturbed,200,18,0.755479,0.976562
