training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.2383,0.0029,0.2228,0.0022,0.1583,0.0046,0.1693,0.0071
40,0.2014,0.0020,0.2024,0.0020,0.1413,0.0032,0.1538,0.0047
60,0.1852,0.0018,0.1967,0.0021,0.1307,0.0029,0.1459,0.0024
80,0.1732,0.0014,0.1955,0.0019,0.1231,0.0024,0.1435,0.0020
100,0.1654,0.0017,0.1923,0.0021,0.1272,0.0028,0.1466,0.0029
120,0.1588,0.0016,0.1938,0.0023,0.1219,0.0029,0.1456,0.0018
140,0.1541,0.0016,0.1949,0.0022,0.1195,0.0025,0.1470,0.0016
160,0.1496,0.0013,0.1950,0.0019,0.1175,0.0023,0.1477,0.0015
180,0.1459,0.0012,0.1963,0.0017,0.1134,0.0022,0.1512,0.0032
200,0.1438,0.0012,0.1958,0.0016,0.1136,0.0019,0.1523,0.0032
