rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.3910,
0,40,Convex only,0.2788,
0,60,Convex only,0.2459,
0,80,Convex only,0.2324,
0,100,Convex only,0.2259,
0,120,Convex only,0.2056,
0,140,Convex only,0.1942,
0,160,Convex only,0.1893,
0,180,Convex only,0.1634,
0,200,Convex only,0.1584,
1,20,Convex only,0.3589,
1,40,Convex only,0.3144,
1,60,Convex only,0.2649,
1,80,Convex only,0.1953,
1,100,Convex only,0.1858,
1,120,Convex only,0.1716,
1,140,Convex only,0.1671,
1,160,Convex only,0.1637,
1,180,Convex only,0.1602,
1,200,Convex only,0.1549,
2,20,Convex only,0.3264,
2,40,Convex only,0.2776,
2,60,Convex only,0.2611,
2,80,Convex only,0.2510,
2,100,Convex only,0.2479,
2,120,Convex only,0.2185,
2,140,Convex only,0.2106,
2,160,Convex only,0.1579,
2,180,Convex only,0.1596,
2,200,Convex only,0.1567,
3,20,Convex only,0.2969,
3,40,Convex only,0.2577,
3,60,Convex only,0.2229,
3,80,Convex only,0.2138,
3,100,Convex only,0.1985,
3,120,Convex only,0.1941,
3,140,Convex only,0.1904,
3,160,Convex only,0.1849,
3,180,Convex only,0.1617,
3,200,Convex only,0.1600,
4,20,Convex only,0.3387,
4,40,Convex only,0.2937,
4,60,Convex only,0.2454,
4,80,Convex only,0.1888,
4,100,Convex only,0.1818,
4,120,Convex only,0.1749,
4,140,Convex only,0.1627,
4,160,Convex only,0.1586,
4,180,Convex only,0.1585,
4,200,Convex only,0.1571,
5,20,Convex only,0.3432,
5,40,Convex only,0.3115,
5,60,Convex only,0.2989,
5,80,Convex only,0.2046,
5,100,Convex only,0.1891,
5,120,Convex only,0.1850,
5,140,Convex only,0.1810,
5,160,Convex only,0.1774,
5,180,Convex only,0.1562,
5,200,Convex only,0.1554,
6,20,Convex only,0.2812,
6,40,Convex only,0.2517,
6,60,Convex only,0.2036,
6,80,Convex only,0.1931,
6,100,Convex only,0.1857,
6,120,Convex only,0.1810,
6,140,Convex only,0.1771,
6,160,Convex only,0.1695,
6,180,Convex only,0.1664,
6,200,Convex only,0.1618,
7,20,Convex only,0.2482,
7,40,Convex only,0.2184,
7,60,Convex only,0.2080,
7,80,Convex only,0.1898,
7,100,Convex only,0.1863,
7,120,Convex only,0.1828,
7,140,Convex only,0.1788,
7,160,Convex only,0.1734,
7,180,Convex only,0.1627,
7,200,Convex only,0.1583,
8,20,Convex only,0.2913,
8,40,Convex only,0.2601,
8,60,Convex only,0.2419,
8,80,Convex only,0.2026,
8,100,Convex only,0.2008,
8,120,Convex only,0.1959,
8,140,Convex only,0.1918,
8,160,Convex only,0.1900,
8,180,Convex only,0.1778,
8,200,Convex only,0.1769,
9,20,Convex only,0.2412,
9,40,Convex only,0.2150,
9,60,Convex only,0.2034,
9,80,Convex only,0.1931,
9,100,Convex only,0.1827,
9,120,Convex only,0.1756,
9,140,Convex only,0.1671,
9,160,Convex only,0.1667,
9,180,Convex only,0.1625,
9,200,Convex only,0.1600,
10,20,Convex only,0.3001,
10,40,Convex only,0.2703,
10,60,Convex only,0.2523,
10,80,Convex only,0.2362,
10,100,Convex only,0.2278,
10,120,Convex only,0.2205,
10,140,Convex only,0.2149,
10,160,Convex only,0.1879,
10,180,Convex only,0.1670,
10,200,Convex only,0.1650,
11,20,Convex only,0.2874,
11,40,Convex only,0.2492,
11,60,Convex only,0.2309,
11,80,Convex only,0.2014,
11,100,Convex only,0.1717,
11,120,Convex only,0.1690,
11,140,Convex only,0.1658,
11,160,Convex only,0.1628,
11,180,Convex only,0.1605,
11,200,Convex only,0.1552,
12,20,Convex only,0.3986,
12,40,Convex only,0.2834,
12,60,Convex only,0.2013,
12,80,Convex only,0.1945,
12,100,Convex only,0.1837,
12,120,Convex only,0.1725,
12,140,Convex only,0.1709,
12,160,Convex only,0.1643,
12,180,Convex only,0.1567,
12,200,Convex only,0.1558,
13,20,Convex only,0.2708,
13,40,Convex only,0.2194,
13,60,Convex only,0.2056,
13,80,Convex only,0.1963,
13,100,Convex only,0.1879,
13,120,Convex only,0.1812,
13,140,Convex only,0.1742,
13,160,Convex only,0.1713,
13,180,Convex only,0.1621,
13,200,Convex only,0.1568,
14,20,Convex only,0.3469,
14,40,Convex only,0.2908,
14,60,Convex only,0.2800,
14,80,Convex only,0.1831,
14,100,Convex only,0.1757,
14,120,Convex only,0.1718,
14,140,Convex only,0.1633,
14,160,Convex only,0.1611,
14,180,Convex only,0.1589,
14,200,Convex only,0.1581,
15,20,Convex only,0.2864,
15,40,Convex only,0.2366,
15,60,Convex only,0.2209,
15,80,Convex only,0.2145,
15,100,Convex only,0.2006,
15,120,Convex only,0.1979,
15,140,Convex only,0.1949,
15,160,Convex only,0.1892,
15,180,Convex only,0.1592,
15,200,Convex only,0.1576,
16,20,Convex only,0.4263,
16,40,Convex only,0.2592,
16,60,Convex only,0.2396,
16,80,Convex only,0.1854,
16,100,Convex only,0.1747,
16,120,Convex only,0.1670,
16,140,Convex only,0.1633,
16,160,Convex only,0.1597,
16,180,Convex only,0.1591,
16,200,Convex only,0.1506,
17,20,Convex only,0.4281,
17,40,Convex only,0.3816,
17,60,Convex only,0.2679,
17,80,Convex only,0.2457,
17,100,Convex only,0.2260,
17,120,Convex only,0.2221,
17,140,Convex only,0.1998,
17,160,Convex only,0.1933,
17,180,Convex only,0.1900,
17,200,Convex only,0.1897,
18,20,Convex only,0.4042,
18,40,Convex only,0.2948,
18,60,Convex only,0.2476,
18,80,Convex only,0.2298,
18,100,Convex only,0.2224,
18,120,Convex only,0.2208,
18,140,Convex only,0.1855,
18,160,Convex only,0.1794,
18,180,Convex only,0.1776,
18,200,Convex only,0.1549,
19,20,Convex only,0.2536,
19,40,Convex only,0.2205,
19,60,Convex only,0.1986,
19,80,Convex only,0.1930,
19,100,Convex only,0.1824,
19,120,Convex only,0.1813,
19,140,Convex only,0.1693,
19,160,Convex only,0.1644,
19,180,Convex only,0.1592,
19,200,Convex only,0.1532,
0,20,Additive,0.1567,
0,40,Additive,0.1473,
0,60,Additive,0.1439,
0,80,Additive,0.1410,
0,100,Additive,0.1408,
0,120,Additive,0.1346,
0,140,Additive,0.1143,
0,160,Additive,0.1144,
0,180,Additive,0.1359,
0,200,Additive,0.1367,
1,20,Additive,0.1309,
1,40,Additive,0.1290,
1,60,Additive,0.1204,
1,80,Additive,0.1208,
1,100,Additive,0.1161,
1,120,Additive,0.1258,
1,140,Additive,0.1265,
1,160,Additive,0.1170,
1,180,Additive,0.1182,
1,200,Additive,0.1157,
2,20,Additive,0.1354,
2,40,Additive,0.1245,
2,60,Additive,0.1224,
2,80,Additive,0.1161,
2,100,Additive,0.1121,
2,120,Additive,0.1123,
2,140,Additive,0.1179,
2,160,Additive,0.1215,
2,180,Additive,0.1211,
2,200,Additive,0.1174,
3,20,Additive,0.1632,
3,40,Additive,0.1478,
3,60,Additive,0.1410,
3,80,Additive,0.1462,
3,100,Additive,0.1354,
3,120,Additive,0.1223,
3,140,Additive,0.1151,
3,160,Additive,0.1143,
3,180,Additive,0.1270,
3,200,Additive,0.1261,
4,20,Additive,0.1357,
4,40,Additive,0.1234,
4,60,Additive,0.1140,
4,80,Additive,0.1180,
4,100,Additive,0.1177,
4,120,Additive,0.1538,
4,140,Additive,0.1509,
4,160,Additive,0.1472,
4,180,Additive,0.1479,
4,200,Additive,0.1423,
5,20,Additive,0.1734,
5,40,Additive,0.1542,
5,60,Additive,0.1464,
5,80,Additive,0.1362,
5,100,Additive,0.1363,
5,120,Additive,0.1352,
5,140,Additive,0.1367,
5,160,Additive,0.1353,
5,180,Additive,0.1167,
5,200,Additive,0.1075,
6,20,Additive,0.1779,
6,40,Additive,0.1303,
