training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.3242,0.0126,0.1599,0.0050,0.1950,0.0134,0.1469,0.0067
40,0.2690,0.0086,0.1332,0.0026,0.1677,0.0095,0.1132,0.0044
60,0.2364,0.0057,0.1262,0.0024,0.1552,0.0075,0.1140,0.0035
80,0.2064,0.0041,0.1230,0.0021,0.1372,0.0052,0.1116,0.0034
100,0.1972,0.0043,0.1200,0.0012,0.1334,0.0053,0.1077,0.0027
120,0.1872,0.0036,0.1204,0.0022,0.1300,0.0042,0.1110,0.0021
140,0.1794,0.0031,0.1185,0.0023,0.1260,0.0034,0.1063,0.0021
160,0.1719,0.0021,0.1199,0.0029,0.1210,0.0025,0.1065,0.0023
180,0.1631,0.0015,0.1201,0.0029,0.1146,0.0021,0.1066,0.0024
200,0.1590,0.0016,0.1209,0.0030,0.1128,0.0021,0.1072,0.0020
