rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.3880,
0,40,Convex only,0.2733,
0,60,Convex only,0.2420,
0,80,Convex only,0.2315,
0,100,Convex only,0.2280,
0,120,Convex only,0.1980,
0,140,Convex only,0.1877,
0,160,Convex only,0.1849,
0,180,Convex only,0.1676,
0,200,Convex only,0.1612,
1,20,Convex only,0.3626,
1,40,Convex only,0.3250,
1,60,Convex only,0.2623,
1,80,Convex only,0.1967,
1,100,Convex only,0.1906,
1,120,Convex only,0.1738,
1,140,Convex only,0.1672,
1,160,Convex only,0.1632,
1,180,Convex only,0.1607,
1,200,Convex only,0.1563,
2,20,Convex only,0.3218,
2,40,Convex only,0.2718,
2,60,Convex only,0.2570,
2,80,Convex only,0.2469,
2,100,Convex only,0.2439,
2,120,Convex only,0.2149,
2,140,Convex only,0.2026,
2,160,Convex only,0.1615,
2,180,Convex only,0.1606,
2,200,Convex only,0.1582,
3,20,Convex only,0.2977,
3,40,Convex only,0.2566,
3,60,Convex only,0.2223,
3,80,Convex only,0.2107,
3,100,Convex only,0.2000,
3,120,Convex only,0.1956,
3,140,Convex only,0.1924,
3,160,Convex only,0.1882,
3,180,Convex only,0.1592,
3,200,Convex only,0.1518,
4,20,Convex only,0.3406,
4,40,Convex only,0.2914,
4,60,Convex only,0.2438,
4,80,Convex only,0.1914,
4,100,Convex only,0.1848,
4,120,Convex only,0.1748,
4,140,Convex only,0.1663,
4,160,Convex only,0.1645,
4,180,Convex only,0.1601,
4,200,Convex only,0.1547,
5,20,Convex only,0.3392,
5,40,Convex only,0.3156,
5,60,Convex only,0.2969,
5,80,Convex only,0.2012,
5,100,Convex only,0.1917,
5,120,Convex only,0.1861,
5,140,Convex only,0.1795,
5,160,Convex only,0.1754,
5,180,Convex only,0.1587,
5,200,Convex only,0.1572,
6,20,Convex only,0.2764,
6,40,Convex only,0.2491,
6,60,Convex only,0.2062,
6,80,Convex only,0.1932,
6,100,Convex only,0.1850,
6,120,Convex only,0.1774,
6,140,Convex only,0.1720,
6,160,Convex only,0.1677,
6,180,Convex only,0.1617,
6,200,Convex only,0.1564,
7,20,Convex only,0.2517,
7,40,Convex only,0.2259,
7,60,Convex only,0.2098,
7,80,Convex only,0.1933,
7,100,Convex only,0.1905,
7,120,Convex only,0.1810,
7,140,Convex only,0.1751,
7,160,Convex only,0.1692,
7,180,Convex only,0.1579,
7,200,Convex only,0.1540,
8,20,Convex only,0.2900,
8,40,Convex only,0.2601,
8,60,Convex only,0.2363,
8,80,Convex only,0.2022,
8,100,Convex only,0.1974,
8,120,Convex only,0.1897,
8,140,Convex only,0.1870,
8,160,Convex only,0.1816,
8,180,Convex only,0.1744,
8,200,Convex only,0.1740,
9,20,Convex only,0.2413,
9,40,Convex only,0.2223,
9,60,Convex only,0.2105,
9,80,Convex only,0.1948,
9,100,Convex only,0.1880,
9,120,Convex only,0.1805,
9,140,Convex only,0.1702,
9,160,Convex only,0.1658,
9,180,Convex only,0.1629,
9,200,Convex only,0.1625,
10,20,Convex only,0.2989,
10,40,Convex only,0.2654,
10,60,Convex only,0.2504,
10,80,Convex only,0.2313,
10,100,Convex only,0.2241,
10,120,Convex only,0.2192,
10,140,Convex only,0.2145,
10,160,Convex only,0.1819,
10,180,Convex only,0.1636,
10,200,Convex only,0.1597,
11,20,Convex only,0.2790,
11,40,Convex only,0.2434,
11,60,Convex only,0.2290,
11,80,Convex only,0.2035,
11,100,Convex only,0.1749,
11,120,Convex only,0.1679,
11,140,Convex only,0.1681,
11,160,Convex only,0.1644,
11,180,Convex only,0.1576,
11,200,Convex only,0.1555,
12,20,Convex only,0.3881,
12,40,Convex only,0.2811,
12,60,Convex only,0.2059,
12,80,Convex only,0.1992,
12,100,Convex only,0.1859,
12,120,Convex only,0.1722,
12,140,Convex only,0.1689,
12,160,Convex only,0.1654,
12,180,Convex only,0.1608,
12,200,Convex only,0.1579,
13,20,Convex only,0.2724,
13,40,Convex only,0.2202,
