training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.4952,0.0145,0.6689,0.0125,0.4582,0.0182,0.6051,0.0127
40,0.4213,0.0072,0.6804,0.0110,0.3609,0.0097,0.6380,0.0105
60,0.3859,0.0054,0.7076,0.0064,0.3621,0.0079,0.6737,0.0071
80,0.3627,0.0041,0.7288,0.0052,0.3477,0.0060,0.6930,0.0053
100,0.3420,0.0057,0.7380,0.0048,0.3388,0.0056,0.7086,0.0047
120,0.3206,0.0039,0.7475,0.0043,0.3167,0.0041,0.7218,0.0047
140,0.3056,0.0029,0.7568,0.0036,0.3026,0.0030,0.7314,0.0041
160,0.2898,0.0028,0.7649,0.0038,0.2878,0.0028,0.7390,0.0035
180,0.2805,0.0025,0.7708,0.0035,0.2790,0.0023,0.7469,0.0032
200,0.2734,0.0021,0.7713,0.0033,0.2715,0.0022,0.7499,0.0030
