rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.5451,
0,40,Convex only,0.4440,
0,60,Convex only,0.3898,
0,80,Convex only,0.3481,
0,100,Convex only,0.3505,
0,120,Convex only,0.3304,
0,140,Convex only,0.2973,
0,160,Convex only,0.2823,
0,180,Convex only,0.2765,
0,200,Convex only,0.2687,
1,20,Convex only,0.6073,
1,40,Convex only,0.4386,
1,60,Convex only,0.3914,
1,80,Convex only,0.3496,
1,100,Convex only,0.3415,
1,120,Convex only,0.3403,
1,140,Convex only,0.3242,
1,160,Convex only,0.2716,
1,180,Convex only,0.2711,
1,200,Convex only,0.2707,
2,20,Convex only,0.4565,
2,40,Convex only,0.4328,
2,60,Convex only,0.3776,
2,80,Convex only,0.3406,
2,100,Convex only,0.3052,
2,120,Convex only,0.2879,
2,140,Convex only,0.2896,
2,160,Convex only,0.2864,
2,180,Convex only,0.2723,
2,200,Convex only,0.2702,
3,20,Convex only,0.4999,
3,40,Convex only,0.4163,
3,60,Convex only,0.4275,
3,80,Convex only,0.3799,
3,100,Convex only,0.3771,
3,120,Convex only,0.3401,
3,140,Convex only,0.3022,
3,160,Convex only,0.2955,
3,180,Convex only,0.2860,
3,200,Convex only,0.2836,
4,20,Convex only,0.4930,
4,40,Convex only,0.4604,
4,60,Convex only,0.3973,
4,80,Convex only,0.3692,
4,100,Convex only,0.3698,
4,120,Convex only,0.3382,
4,140,Convex only,0.3172,
4,160,Convex only,0.2973,
4,180,Convex only,0.3002,
4,200,Convex only,0.2852,
5,20,Convex only,0.5467,
5,40,Convex only,0.4015,
5,60,Convex only,0.3662,
5,80,Convex only,0.3560,
5,100,Convex only,0.3190,
5,120,Convex only,0.3206,
5,140,Convex only,0.3072,
5,160,Convex only,0.2951,
5,180,Convex only,0.2749,
5,200,Convex only,0.2658,
6,20,Convex only,0.4391,
6,40,Convex only,0.4130,
6,60,Convex only,0.4035,
6,80,Convex only,0.3966,
6,100,Convex only,0.3644,
6,120,Convex only,0.3354,
6,140,Convex only,0.3029,
6,160,Convex only,0.2826,
6,180,Convex only,0.2811,
6,200,Convex only,0.2650,
7,20,Convex only,0.3582,
7,40,Convex only,0.4584,
7,60,Convex only,0.4030,
7,80,Convex only,0.3828,
7,100,Convex only,0.3610,
7,120,Convex only,0.3377,
7,140,Convex only,0.3299,
7,160,Convex only,0.3179,
7,180,Convex only,0.3146,
7,200,Convex only,0.2925,
8,20,Convex only,0.4662,
8,40,Convex only,0.4241,
8,60,Convex only,0.3893,
8,80,Convex only,0.3560,
8,100,Convex only,0.3164,
8,120,Convex only,0.2895,
8,140,Convex only,0.2898,
8,160,Convex only,0.2785,
8,180,Convex only,0.2635,
8,200,Convex only,0.2665,
9,20,Convex only,0.5237,
9,40,Convex only,0.4286,
9,60,Convex only,0.3710,
9,80,Convex only,0.3528,
9,100,Convex only,0.3062,
9,120,Convex only,0.3065,
9,140,Convex only,0.2936,
9,160,Convex only,0.2886,
9,180,Convex only,0.2734,
9,200,Convex only,0.2711,
10,20,Convex only,0.4376,
10,40,Convex only,0.4221,
10,60,Convex only,0.3724,
10,80,Convex only,0.3822,
10,100,Convex only,0.3543,
10,120,Convex only,0.2971,
10,140,Convex only,0.2990,
10,160,Convex only,0.2886,
10,180,Convex only,0.2781,
10,200,Convex only,0.2746,
11,20,Convex only,0.4955,
11,40,Convex only,0.3845,
11,60,Convex only,0.3694,
11,80,Convex only,0.3654,
11,100,Convex only,0.3455,
11,120,Convex only,0.3119,
11,140,Convex only,0.2881,
11,160,Convex only,0.2745,
11,180,Convex only,0.2798,
11,200,Convex only,0.2675,
12,20,Convex only,0.4328,
12,40,Convex only,0.4430,
12,60,Convex only,0.3881,
12,80,Convex only,0.3475,
12,100,Convex only,0.3262,
12,120,Convex only,0.3168,
12,140,Convex only,0.3037,
12,160,Convex only,0.2939,
12,180,Convex only,0.2724,
12,200,Convex only,0.2573,
13,20,Convex only,0.5077,
13,40,Convex only,0.3998,
13,60,Convex only,0.3625,
13,80,Convex only,0.3444,
13,100,Convex only,0.3236,
13,120,Convex only,0.3068,
13,140,Convex only,0.3034,
13,160,Convex only,0.2998,
13,180,Convex only,0.2878,
13,200,Convex only,0.2892,
14,20,Convex only,0.4276,
14,40,Convex only,0.3686,
14,60,Convex only,0.3547,
14,80,Convex only,0.3502,
14,100,Convex only,0.3134,
14,120,Convex only,0.3206,
14,140,Convex only,0.2981,
14,160,Convex only,0.2607,
14,180,Convex only,0.2751,
14,200,Convex only,0.2625,
15,20,Convex only,0.5669,
15,40,Convex only,0.3971,
15,60,Convex only,0.4087,
15,80,Convex only,0.3966,
15,100,Convex only,0.3942,
15,120,Convex only,0.3436,
15,140,Convex only,0.3244,
15,160,Convex only,0.3017,
15,180,Convex only,0.2741,
15,200,Convex only,0.2693,
16,20,Convex only,0.6248,
16,40,Convex only,0.4994,
16,60,Convex only,0.4016,
16,80,Convex only,0.3565,
16,100,Convex only,0.3154,
16,120,Convex only,0.2987,
16,140,Convex only,0.3016,
16,160,Convex only,0.2913,
16,180,Convex only,0.2758,
16,200,Convex only,0.2785,
17,20,Convex only,0.5521,
17,40,Convex only,0.4398,
17,60,Convex only,0.4394,
17,80,Convex only,0.3809,
17,100,Convex only,0.3610,
17,120,Convex only,0.3261,
17,140,Convex only,0.3275,
17,160,Convex only,0.3049,
17,180,Convex only,0.2905,
17,200,Convex only,0.2666,
18,20,Convex only,0.4936,
18,40,Convex only,0.3681,
18,60,Convex only,0.3333,
18,80,Convex only,0.3280,
18,100,Convex only,0.3307,
18,120,Convex only,0.3302,
18,140,Convex only,0.3192,
18,160,Convex only,0.2920,
18,180,Convex only,0.2807,
18,200,Convex only,0.2799,
19,20,Convex only,0.4303,
19,40,Convex only,0.3866,
19,60,Convex only,0.3714,
19,80,Convex only,0.3698,
19,100,Convex only,0.3646,
19,120,Convex only,0.3333,
19,140,Convex only,0.2923,
19,160,Convex only,0.2921,
19,180,Convex only,0.2824,
19,200,Convex only,0.2842,
0,20,Additive,0.5935,
0,40,Additive,0.7262,
0,60,Additive,0.7116,
0,80,Additive,0.7191,
0,100,Additive,0.7522,
0,120,Additive,0.7525,
0,140,Additive,0.7533,
0,160,Additive,0.7659,
0,180,Additive,0.7657,
0,200,Additive,0.7661,
1,20,Additive,0.6765,
1,40,Additive,0.7520,
1,60,Additive,0.7514,
1,80,Additive,0.7503,
1,100,Additive,0.7565,
1,120,Additive,0.7534,
1,140,Additive,0.7563,
1,160,Additive,0.7580,
1,180,Additive,0.7817,
1,200,Additive,0.7792,
2,20,Additive,0.6540,
2,40,Additive,0.6933,
2,60,Additive,0.7104,
2,80,Additive,0.7198,
2,100,Additive,0.7419,
2,120,Additive,0.7703,
2,140,Additive,0.7672,
2,160,Additive,0.7744,
2,180,Additive,0.7814,
2,200,Additive,0.7805,
3,20,Additive,0.7136,
3,40,Additive,0.6658,
3,60,Additive,0.6728,
3,80,Additive,0.7069,
3,100,Additive,0.7369,
3,120,Additive,0.7674,
3,140,Additive,0.7683,
3,160,Additive,0.7684,
3,180,Additive,0.7680,
3,200,Additive,0.7679,
4,20,Additive,0.5348,
4,40,Additive,0.6920,
4,60,Additive,0.6906,
4,80,Additive,0.7379,
4,100,Additive,0.7432,
4,120,Additive,0.7507,
4,140,Additive,0.7499,
4,160,Additive,0.7521,
4,180,Additive,0.7864,
4,200,Additive,0.7871,
5,20,Additive,0.6894,
5,40,Additive,0.6559,
5,60,Additive,0.6691,
5,80,Additive,0.6998,
5,100,Additive,0.7066,
5,120,Additive,0.7438,
5,140,Additive,0.7473,
5,160,Additive,0.7734,
5,180,Additive,0.7599,
5,200,Additive,0.7758,
6,20,Additive,0.7762,
6,40,Additive,0.7466,
6,60,Additive,0.7593,
6,80,Additive,0.7841,
6,100,Additive,0.7801,
6,120,Additive,0.7819,
6,140,Additive,0.7805,
6,160,Additive,0.7769,
6,180,Additive,0.7748,
6,200,Additive,0.7711,
7,20,Additive,0.6508,
7,40,Additive,0.6785,
7,60,Additive,0.7111,
7,80,Additive,0.7413,
7,100,Additive,0.7467,
7,120,Additive,0.7405,
7,140,Additive,0.7547,
7,160,Additive,0.7687,
7,180,Additive,0.7712,
7,200,Additive,0.7742,
8,20,Additive,0.6799,
8,40,Additive,0.6865,
8,60,Additive,0.7428,
8,80,Additive,0.7327,
8,100,Additive,0.7432,
8,120,Additive,0.7453,
8,140,Additive,0.7593,
8,160,Additive,0.7645,
8,180,Additive,0.7652,
8,200,Additive,0.7736,
