training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.5279,0.0199,0.6681,0.0118,0.4348,0.0178,0.6012,0.0130
40,0.4576,0.0149,0.6813,0.0116,0.3214,0.0091,0.6392,0.0110
60,0.4112,0.0118,0.7104,0.0063,0.3035,0.0124,0.6743,0.0075
80,0.4002,0.0136,0.7313,0.0054,0.3077,0.0157,0.6944,0.0057
100,0.4053,0.0110,0.7407,0.0044,0.2917,0.0143,0.7099,0.0048
120,0.3843,0.0113,0.7500,0.0041,0.2862,0.0149,0.7239,0.0046
140,0.3810,0.0105,0.7595,0.0033,0.2881,0.0155,0.7334,0.0039
160,0.3793,0.0098,0.7659,0.0037,0.2903,0.0164,0.7407,0.0035
180,0.3645,0.0100,0.7716,0.0040,0.2684,0.0147,0.7485,0.0033
200,0.3832,0.0106,0.7784,0.0031,0.2631,0.0138,0.7510,0.0032
