rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.5407,
0,40,Convex only,0.4641,
0,60,Convex only,0.4248,
0,80,Convex only,0.3962,
0,100,Convex only,0.4512,
0,120,Convex only,0.4047,
0,140,Convex only,0.3859,
0,160,Convex only,0.3582,
0,180,Convex only,0.3775,
0,200,Convex only,0.3947,
1,20,Convex only,0.5469,
1,40,Convex only,0.4712,
1,60,Convex only,0.4289,
1,80,Convex only,0.3880,
1,100,Convex only,0.3368,
1,120,Convex only,0.3599,
1,140,Convex only,0.3674,
1,160,Convex only,0.3442,
1,180,Convex only,0.3382,
1,200,Convex only,0.4114,
2,20,Convex only,0.5009,
2,40,Convex only,0.4158,
2,60,Convex only,0.4041,
2,80,Convex only,0.3850,
2,100,Convex only,0.3701,
2,120,Convex only,0.3331,
2,140,Convex only,0.3096,
2,160,Convex only,0.3325,
2,180,Convex only,0.2984,
2,200,Convex only,0.3545,
3,20,Convex only,0.4993,
3,40,Convex only,0.5531,
3,60,Convex only,0.4414,
3,80,Convex only,0.4487,
3,100,Convex only,0.4591,
3,120,Convex only,0.2950,
3,140,Convex only,0.3025,
3,160,Convex only,0.2828,
3,180,Convex only,0.3034,
3,200,Convex only,0.2934,
4,20,Convex only,0.5256,
4,40,Convex only,0.4642,
4,60,Convex only,0.4080,
4,80,Convex only,0.3675,
4,100,Convex only,0.4384,
4,120,Convex only,0.3930,
4,140,Convex only,0.4038,
4,160,Convex only,0.3769,
4,180,Convex only,0.3995,
4,200,Convex only,0.3766,
5,20,Convex only,0.7645,
5,40,Convex only,0.5226,
5,60,Convex only,0.3642,
5,80,Convex only,0.4551,
5,100,Convex only,0.4282,
5,120,Convex only,0.4252,
5,140,Convex only,0.4036,
5,160,Convex only,0.3606,
5,180,Convex only,0.3600,
5,200,Convex only,0.3471,
6,20,Convex only,0.6218,
6,40,Convex only,0.5752,
6,60,Convex only,0.5093,
6,80,Convex only,0.5008,
6,100,Convex only,0.4138,
6,120,Convex only,0.4668,
6,140,Convex only,0.4391,
6,160,Convex only,0.4222,
6,180,Convex only,0.3826,
6,200,Convex only,0.3679,
7,20,Convex only,0.3712,
7,40,Convex only,0.4386,
7,60,Convex only,0.4238,
7,80,Convex only,0.4327,
7,100,Convex only,0.4412,
7,120,Convex only,0.3652,
7,140,Convex only,0.3450,
7,160,Convex only,0.4254,
7,180,Convex only,0.3256,
7,200,Convex only,0.4409,
8,20,Convex only,0.4595,
8,40,Convex only,0.3219,
8,60,Convex only,0.2840,
8,80,Convex only,0.2712,
8,100,Convex only,0.2916,
8,120,Convex only,0.3725,
8,140,Convex only,0.4025,
8,160,Convex only,0.4343,
8,180,Convex only,0.3918,
8,200,Convex only,0.3891,
9,20,Convex only,0.5279,
9,40,Convex only,0.5301,
9,60,Convex only,0.4650,
9,80,Convex only,0.4682,
9,100,Convex only,0.4420,
9,120,Convex only,0.3973,
9,140,Convex only,0.3573,
9,160,Convex only,0.3504,
9,180,Convex only,0.3381,
9,200,Convex only,0.3591,
10,20,Convex only,0.4278,
10,40,Convex only,0.4365,
10,60,Convex only,0.3746,
10,80,Convex only,0.4781,
10,100,Convex only,0.4173,
10,120,Convex only,0.3759,
10,140,Convex only,0.3904,
10,160,Convex only,0.4141,
10,180,Convex only,0.3984,
10,200,Convex only,0.3813,
11,20,Convex only,0.4998,
11,40,Convex only,0.3597,
11,60,Convex only,0.3539,
11,80,Convex only,0.3431,
11,100,Convex only,0.4494,
11,120,Convex only,0.4018,
11,140,Convex only,0.4114,
11,160,Convex only,0.4185,
11,180,Convex only,0.3314,
11,200,Convex only,0.4265,
12,20,Convex only,0.4285,
12,40,Convex only,0.4600,
12,60,Convex only,0.4893,
12,80,Convex only,0.4616,
12,100,Convex only,0.4462,
12,120,Convex only,0.4518,
12,140,Convex only,0.4303,
12,160,Convex only,0.4201,
12,180,Convex only,0.4560,
12,200,Convex only,0.4571,
13,20,Convex only,0.5275,
13,40,Convex only,0.4069,
13,60,Convex only,0.4032,
13,80,Convex only,0.3378,
13,100,Convex only,0.3943,
13,120,Convex only,0.3671,
13,140,Convex only,0.3559,
13,160,Convex only,0.4081,
13,180,Convex only,0.4145,
13,200,Convex only,0.4099,
14,20,Convex only,0.4121,
14,40,Convex only,0.3614,
14,60,Convex only,0.3606,
14,80,Convex only,0.3022,
14,100,Convex only,0.3412,
14,120,Convex only,0.3176,
14,140,Convex only,0.3258,
14,160,Convex only,0.3242,
14,180,Convex only,0.3637,
14,200,Convex only,0.3858,
15,20,Convex only,0.5754,
15,40,Convex only,0.4933,
15,60,Convex only,0.4581,
15,80,Convex only,0.4520,
15,100,Convex only,0.4710,
15,120,Convex only,0.4580,
15,140,Convex only,0.4568,
15,160,Convex only,0.4315,
15,180,Convex only,0.4615,
15,200,Convex only,0.4703,
16,20,Convex only,0.6224,
16,40,Convex only,0.5141,
16,60,Convex only,0.4101,
16,80,Convex only,0.3450,
16,100,Convex only,0.3388,
16,120,Convex only,0.2944,
16,140,Convex only,0.2892,
16,160,Convex only,0.3504,
16,180,Convex only,0.3433,
16,200,Convex only,0.3415,
17,20,Convex only,0.6528,
17,40,Convex only,0.5038,
17,60,Convex only,0.4678,
17,80,Convex only,0.3587,
17,100,Convex only,0.3482,
17,120,Convex only,0.3423,
17,140,Convex only,0.3985,
17,160,Convex only,0.3292,
17,180,Convex only,0.3370,
17,200,Convex only,0.3051,
18,20,Convex only,0.4942,
18,40,Convex only,0.3797,
18,60,Convex only,0.3447,
18,80,Convex only,0.3837,
18,100,Convex only,0.4086,
18,120,Convex only,0.4464,
18,140,Convex only,0.4469,
18,160,Convex only,0.4284,
18,180,Convex only,0.3531,
18,200,Convex only,0.3220,
19,20,Convex only,0.5595,
19,40,Convex only,0.4791,
19,60,Convex only,0.4087,
19,80,Convex only,0.4280,
19,100,Convex only,0.4191,
19,120,Convex only,0.4184,
19,140,Convex only,0.3981,
19,160,Convex only,0.3730,
19,180,Convex only,0.3170,
19,200,Convex only,0.4292,
