training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.2191,0.0026,0.1874,0.0014,0.1169,0.0028,0.1191,0.0036
40,0.1829,0.0015,0.1542,0.0010,0.1011,0.0017,0.0940,0.0029
60,0.1675,0.0014,0.1391,0.0010,0.0973,0.0024,0.0836,0.0020
80,0.1575,0.0010,0.1300,0.0009,0.0934,0.0024,0.0783,0.0022
100,0.1493,0.0009,0.1230,0.0006,0.0901,0.0022,0.0728,0.0017
120,0.1436,0.0007,0.1181,0.0006,0.0883,0.0018,0.0680,0.0014
140,0.1401,0.0008,0.1144,0.0005,0.0867,0.0016,0.0629,0.0009
160,0.1357,0.0006,0.1109,0.0004,0.0855,0.0013,0.0622,0.0018
180,0.1316,0.0007,0.1080,0.0004,0.0835,0.0009,0.0593,0.0009
200,0.1282,0.0007,0.1053,0.0004,0.0826,0.0004,0.0578,0.0009
