rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.2695,
0,40,Convex only,0.2393,
0,60,Convex only,0.2165,
0,80,Convex only,0.1933,
0,100,Convex only,0.1845,
0,120,Convex only,0.1774,
0,140,Convex only,0.1717,
0,160,Convex only,0.1650,
0,180,Convex only,0.1601,
0,200,Convex only,0.1567,
1,20,Convex only,0.2502,
1,40,Convex only,0.2070,
1,60,Convex only,0.1877,
1,80,Convex only,0.1782,
1,100,Convex only,0.1714,
1,120,Convex only,0.1669,
1,140,Convex only,0.1624,
1,160,Convex only,0.1606,
1,180,Convex only,0.1563,
1,200,Convex only,0.1543,
2,20,Convex only,0.2588,
2,40,Convex only,0.2190,
2,60,Convex only,0.1952,
2,80,Convex only,0.1930,
2,100,Convex only,0.1777,
2,120,Convex only,0.1699,
2,140,Convex only,0.1588,
2,160,Convex only,0.1622,
2,180,Convex only,0.1544,
2,200,Convex only,0.1497,
3,20,Convex only,0.2811,
3,40,Convex only,0.2317,
3,60,Convex only,0.2256,
3,80,Convex only,0.2020,
3,100,Convex only,0.1890,
3,120,Convex only,0.1804,
3,140,Convex only,0.1751,
3,160,Convex only,0.1667,
3,180,Convex only,0.1604,
3,200,Convex only,0.1537,
4,20,Convex only,0.4525,
4,40,Convex only,0.2700,
4,60,Convex only,0.2344,
4,80,Convex only,0.1866,
4,100,Convex only,0.1778,
4,120,Convex only,0.1732,
4,140,Convex only,0.1619,
4,160,Convex only,0.1560,
4,180,Convex only,0.1548,
4,200,Convex only,0.1491,
5,20,Convex only,0.2409,
5,40,Convex only,0.2016,
5,60,Convex only,0.1844,
5,80,Convex only,0.1811,
5,100,Convex only,0.1700,
5,120,Convex only,0.1639,
5,140,Convex only,0.1597,
5,160,Convex only,0.1580,
5,180,Convex only,0.1552,
5,200,Convex only,0.1511,
6,20,Convex only,0.2786,
6,40,Convex only,0.2227,
6,60,Convex only,0.2047,
6,80,Convex only,0.1866,
6,100,Convex only,0.1799,
6,120,Convex only,0.1782,
6,140,Convex only,0.1715,
6,160,Convex only,0.1647,
6,180,Convex only,0.1586,
6,200,Convex only,0.1566,
7,20,Convex only,0.2447,
7,40,Convex only,0.2090,
7,60,Convex only,0.1921,
7,80,Convex only,0.1851,
7,100,Convex only,0.1820,
7,120,Convex only,0.1689,
7,140,Convex only,0.1681,
7,160,Convex only,0.1594,
7,180,Convex only,0.1563,
7,200,Convex only,0.1545,
8,20,Convex only,0.2576,
8,40,Convex only,0.2172,
8,60,Convex only,0.1998,
8,80,Convex only,0.1837,
8,100,Convex only,0.1772,
8,120,Convex only,0.1703,
8,140,Convex only,0.1643,
8,160,Convex only,0.1609,
8,180,Convex only,0.1605,
8,200,Convex only,0.1604,
9,20,Convex only,0.3142,
9,40,Convex only,0.2123,
9,60,Convex only,0.1976,
9,80,Convex only,0.1808,
9,100,Convex only,0.1756,
