training_size,Convex only_RelL2_mean,Convex only_RelL2_se,Additive_RelL2_mean,Additive_RelL2_se,Smooth_RelL2_mean,Smooth_RelL2_se,Additive+Smooth_RelL2_mean,Additive+Smooth_RelL2_se
20,0.2750,0.0104,0.1167,0.0048,0.1290,0.0103,0.0955,0.0081
40,0.2197,0.0033,0.0683,0.0024,0.1109,0.0044,0.0599,0.0036
60,0.2000,0.0027,0.0527,0.0018,0.1150,0.0031,0.0489,0.0026
80,0.1878,0.0016,0.0428,0.0020,0.1068,0.0028,0.0392,0.0023
100,0.1781,0.0015,0.0364,0.0017,0.1075,0.0035,0.0338,0.0017
120,0.1699,0.0012,0.0302,0.0014,0.1086,0.0031,0.0273,0.0015
140,0.1638,0.0009,0.0279,0.0011,0.1103,0.0031,0.0245,0.0012
160,0.1595,0.0009,0.0262,0.0009,0.1090,0.0030,0.0228,0.0008
180,0.1551,0.0008,0.0245,0.0009,0.1083,0.0028,0.0210,0.0008
200,0.1514,0.0007,0.0228,0.0008,0.1088,0.0024,0.0255,0.0041
