rep,training_size,model,RelL2,beta_star
0,20,Convex only,0.2728,
0,40,Convex only,0.2434,
0,60,Convex only,0.2227,
0,80,Convex only,0.1964,
0,100,Convex only,0.1871,
0,120,Convex only,0.1791,
0,140,Convex only,0.1677,
0,160,Convex only,0.1587,
0,180,Convex only,0.1548,
0,200,Convex only,0.1512,
1,20,Convex only,0.2450,
1,40,Convex only,0.2042,
1,60,Convex only,0.1867,
1,80,Convex only,0.1761,
1,100,Convex only,0.1672,
1,120,Convex only,0.1642,
1,140,Convex only,0.1583,
1,160,Convex only,0.1577,
1,180,Convex only,0.1547,
1,200,Convex only,0.1506,
2,20,Convex only,0.2615,
2,40,Convex only,0.2264,
2,60,Convex only,0.1980,
2,80,Convex only,0.1949,
2,100,Convex only,0.1702,
2,120,Convex only,0.1621,
2,140,Convex only,0.1562,
2,160,Convex only,0.1595,
2,180,Convex only,0.1560,
2,200,Convex only,0.1520,
3,20,Convex only,0.2720,
3,40,Convex only,0.2271,
3,60,Convex only,0.2227,
3,80,Convex only,0.1989,
3,100,Convex only,0.1911,
3,120,Convex only,0.1788,
3,140,Convex only,0.1690,
3,160,Convex only,0.1618,
3,180,Convex only,0.1601,
3,200,Convex only,0.1512,
4,20,Convex only,0.4555,
4,40,Convex only,0.2695,
4,60,Convex only,0.2295,
4,80,Convex only,0.1904,
4,100,Convex only,0.1833,
4,120,Convex only,0.1755,
4,140,Convex only,0.1636,
4,160,Convex only,0.1566,
4,180,Convex only,0.1531,
4,200,Convex only,0.1494,
5,20,Convex only,0.2475,
5,40,Convex only,0.2078,
5,60,Convex only,0.1885,
5,80,Convex only,0.1830,
5,100,Convex only,0.1701,
5,120,Convex only,0.1651,
5,140,Convex only,0.1609,
5,160,Convex only,0.1587,
5,180,Convex only,0.1533,
5,200,Convex only,0.1511,
6,20,Convex only,0.2764,
6,40,Convex only,0.2204,
6,60,Convex only,0.2022,
6,80,Convex only,0.1893,
6,100,Convex only,0.1792,
6,120,Convex only,0.1720,
6,140,Convex only,0.1660,
6,160,Convex only,0.1620,
6,180,Convex only,0.1560,
6,200,Convex only,0.1513,
7,20,Convex only,0.2461,
7,40,Convex only,0.2130,
7,60,Convex only,0.1917,
7,80,Convex only,0.1890,
7,100,Convex only,0.1840,
7,120,Convex only,0.1738,
7,140,Convex only,0.1698,
7,160,Convex only,0.1631,
7,180,Convex only,0.1583,
7,200,Convex only,0.1544,
8,20,Convex only,0.2589,
8,40,Convex only,0.2213,
8,60,Convex only,0.1980,
8,80,Convex only,0.1824,
8,100,Convex only,0.1780,
8,120,Convex only,0.1689,
8,140,Convex only,0.1637,
8,160,Convex only,0.1586,
8,180,Convex only,0.1571,
8,200,Convex only,0.1539,
9,20,Convex only,0.3059,
9,40,Convex only,0.2088,
9,60,Convex only,0.1924,
9,80,Convex only,0.1807,
9,100,Convex only,0.1752,
9,120,Convex only,0.1650,
9,140,Convex only,0.1629,
9,160,Convex only,0.1566,
9,180,Convex only,0.1550,
9,200,Convex only,0.1539,
10,20,Convex only,0.2834,
10,40,Convex only,0.2159,
10,60,Convex only,0.2008,
10,80,Convex only,0.1905,
10,100,Convex only,0.1814,
10,120,Convex only,0.1672,
10,140,Convex only,0.1603,
10,160,Convex only,0.1571,
10,180,Convex only,0.1522,
10,200,Convex only,0.1493,
11,20,Convex only,0.2551,
11,40,Convex only,0.2090,
11,60,Convex only,0.1903,
11,80,Convex only,0.1808,
11,100,Convex only,0.1727,
11,120,Convex only,0.1660,
11,140,Convex only,0.1614,
11,160,Convex only,0.1546,
11,180,Convex only,0.1542,
11,200,Convex only,0.1500,
12,20,Convex only,0.3229,
12,40,Convex only,0.2165,
12,60,Convex only,0.1976,
12,80,Convex only,0.1899,
12,100,Convex only,0.1839,
12,120,Convex only,0.1737,
12,140,Convex only,0.1676,
12,160,Convex only,0.1623,
12,180,Convex only,0.1560,
12,200,Convex only,0.1536,
13,20,Convex only,0.2557,
13,40,Convex only,0.2201,
13,60,Convex only,0.1996,
13,80,Convex only,0.1884,
13,100,Convex only,0.1770,
13,120,Convex only,0.1721,
13,140,Convex only,0.1664,
13,160,Convex only,0.1559,
13,180,Convex only,0.1500,
13,200,Convex only,0.1466,
14,20,Convex only,0.2541,
14,40,Convex only,0.2226,
14,60,Convex only,0.1995,
14,80,Convex only,0.1927,
14,100,Convex only,0.1854,
14,120,Convex only,0.1740,
14,140,Convex only,0.1687,
14,160,Convex only,0.1642,
14,180,Convex only,0.1618,
14,200,Convex only,0.1615,
15,20,Convex only,0.2761,
15,40,Convex only,0.2227,
15,60,Convex only,0.2141,
15,80,Convex only,0.2030,
15,100,Convex only,0.1855,
15,120,Convex only,0.1780,
15,140,Convex only,0.1703,
15,160,Convex only,0.1709,
15,180,Convex only,0.1607,
15,200,Convex only,0.1521,
16,20,Convex only,0.2781,
16,40,Convex only,0.2051,
16,60,Convex only,0.1890,
16,80,Convex only,0.1776,
16,100,Convex only,0.1685,
16,120,Convex only,0.1653,
16,140,Convex only,0.1615,
16,160,Convex only,0.1575,
16,180,Convex only,0.1491,
16,200,Convex only,0.1487,
17,20,Convex only,0.2571,
17,40,Convex only,0.2196,
17,60,Convex only,0.1937,
17,80,Convex only,0.1877,
17,100,Convex only,0.1738,
17,120,Convex only,0.1633,
17,140,Convex only,0.1598,
17,160,Convex only,0.1564,
17,180,Convex only,0.1530,
17,200,Convex only,0.1517,
18,20,Convex only,0.2334,
18,40,Convex only,0.2082,
18,60,Convex only,0.1905,
18,80,Convex only,0.1806,
18,100,Convex only,0.1711,
