training_size,panel,ConvexOnly,Additive,Smooth,Add+Smooth
20,CORRECT-spec / UNPERT,0.1295982544128257,0.0996411405246148,0.1749387936269814,0.139294435990186
40,CORRECT-spec / UNPERT,0.1164962401718183,0.0861113225499952,0.1261764684533439,0.0986529752375744
60,CORRECT-spec / UNPERT,0.1043006955145285,0.0858606838997432,0.1088470543088235,0.0816487533618682
80,CORRECT-spec / UNPERT,0.0972540972382267,0.0809873898955351,0.1008953446509282,0.0860936866073702
100,CORRECT-spec / UNPERT,0.0971196038900946,0.0765626358073487,0.0983020298653526,0.0823278002813894
20,CORRECT-spec / PERT,0.2155848054335317,0.1182952546257051,0.23896236941751,0.2423231666995035
40,CORRECT-spec / PERT,0.1980469125012005,0.2619096350018894,0.2151534203245398,0.1813866089051047
60,CORRECT-spec / PERT,0.1882289219476496,0.1765009203255592,0.1963965284537404,0.1754695719323504
80,CORRECT-spec / PERT,0.1806293444906707,0.268124470691065,0.1865767582917479,0.1750653978961004
100,CORRECT-spec / PERT,0.1825184314737653,0.2436440998621524,0.1856255154642229,0.1808148251318757
20,MISSPEC / UNPERT,0.0587732112005466,0.041304130403644,0.0911197019196311,0.0454411947619531
40,MISSPEC / UNPERT,0.0559468927563873,0.0796720494006186,0.0731815624967954,0.0862415399153536
60,MISSPEC / UNPERT,0.055027037675814,0.0601104968542525,0.0714997367203726,0.0721948909222291
80,MISSPEC / UNPERT,0.0441642769990998,0.0660640255067922,0.0551080389940455,0.0725196101588633
100,MISSPEC / UNPERT,0.0448773662671189,0.0577088837809245,0.0595626407992307,0.0589320989079151
20,MISSPEC / PERT,0.2135480778992324,0.2537233589350935,0.1978729049308602,0.1922100707976126
40,MISSPEC / PERT,0.1399581764557832,0.2426393475469384,0.1628515682974231,
60,MISSPEC / PERT,0.1514136742656253,0.2396791926099035,0.1645990953821311,
80,MISSPEC / PERT,0.158599549541333,0.2222017313392257,0.1606328134342722,0.2046656833580708
100,MISSPEC / PERT,0.1545844037508456,0.2495418262669883,0.1623049679677513,0.2039967428095207
