training_size,test_RelL2_w,test_MAE_w,test_MAPE_w,test_RMSE_w,test_AvgCosSim_w
20,0.1084506328168414,0.2229993075226218,4.782184926162194,0.8705158480609416,0.9906470985986938
40,0.06631078301269705,0.12015516659895253,2.536858505818456,0.5963051194937918,0.9956431346985593
60,0.059138306721206034,0.10124757029254276,2.148120405310419,0.5213900612329305,0.9966132697648643
80,0.058574091041010586,0.0993057507154088,2.086022929411716,0.519071318156275,0.996621920042126
100,0.05801060655314787,0.09983364540283517,2.089950001387172,0.5106036037353167,0.9967046900212599
120,0.05783185792548358,0.10025970603831544,2.1205547564551965,0.5180037494065608,0.9965397409479901
140,0.058082541133140125,0.10242248263800567,2.1800591075759854,0.5344414370962886,0.9962719219972856
160,0.058653007709595896,0.10459223709141599,2.228368887024774,0.53901297586658,0.9961921254184367
180,0.05603134679496869,0.10265146116854776,2.1812360824460058,0.5416589550992139,0.9961773291833099
200,0.05577427692294617,0.10230375851604008,2.1766908463612014,0.5429666551912561,0.9961613183654676
300,0.06473522932533868,0.11993022517807274,2.582036155273527,0.5777495447169418,0.9954461364708164
400,0.05693185082791641,0.10423637549390728,2.2816082356691805,0.5341510653454099,0.9958498575337437
