training_size,test_RelL2_w,test_MAE_w,test_MAPE_w,test_RMSE_w,test_AvgCosSim_w,patients_solved,patients_total,success_rate
20,0.11178923199283267,0.23092654943716737,4.982971865850018,0.8812738082679097,0.990214673787541,197,200,0.985
40,0.10449505103839332,0.20952016420171488,4.493317125055131,0.8265501081377227,0.9914299034978006,197,200,0.985
60,0.09003479536320297,0.17028634481913865,3.589576303247024,0.7184526144685935,0.9937321622564678,197,200,0.985
80,0.09103094343401168,0.17477237116855177,3.712828743842268,0.734503316107222,0.9933747514453956,197,200,0.985
100,0.09350030214355018,0.18226450778094538,3.91617947648314,0.7593633644113871,0.9927793521332791,197,200,0.985
120,0.08910673017226661,0.17394826290031343,3.7168423401970587,0.7411450133984119,0.9931988553809739,197,200,0.985
140,0.083145165375136,0.16132020901327632,3.492743849913476,0.6987008399441499,0.9936651544696498,197,200,0.985
160,0.08036535137762367,0.15420272910502428,3.3085162580235026,0.675188699563744,0.9941443748978226,197,200,0.985
180,0.07898353236643088,0.151556431243678,3.2486468100069548,0.6712544222262997,0.9942274512643531,197,200,0.985
200,0.07718184379842277,0.1482601548054027,3.1767898058004946,0.6643181270954069,0.994351693237526,197,200,0.985
300,0.08159296643390017,0.15230597407456448,3.2522675344822636,0.6649366522862421,0.9943334421769848,197,200,0.985
400,0.0759252394985417,0.138272326965278,2.99535591971637,0.6074385021292349,0.9948977707911199,197,200,0.985
