training_size,test_RelL2_w,test_MAE_w,test_MAPE_w,test_RMSE_w,test_AvgCosSim_w
20,0.1578572964251183,0.42954698845198214,9.057072909313336,1.3657953098656466,0.9805251135037788
40,0.13307154679640237,0.33247045967755195,6.860421892489874,1.1582284965904248,0.9857088095693236
60,0.12085844260392466,0.29320282809297255,6.01674982908702,1.0828129468081378,0.9876790499811401
80,0.11303243194024308,0.2708546776694024,5.516653068988007,1.0434420764184842,0.9888452027653301
100,0.11244947174755396,0.2676304432258804,5.391783692890564,1.0349716262429718,0.9891445945795048
120,0.10866572353519402,0.24692815169585153,5.006962641999057,0.9916259464473474,0.9898853417496027
140,0.09447680922670518,0.190989860358087,3.9703896325874446,0.8101560848206824,0.9924129858921484
160,0.08967212599031806,0.1805667839725794,3.7714823847570025,0.7733553405713653,0.9929538178823979
180,0.09191919713330934,0.18144525770700984,3.8051942799869525,0.7708141362104892,0.9928506831211404
200,0.08534956658185629,0.16491527245092044,3.434274916942456,0.7363953739918664,0.9935544403711387
300,0.08073837435805321,0.1521044977867164,3.1494388243130924,0.6964075888378526,0.994248698459929
400,0.07822042641415247,0.14375671731296777,2.990596368145452,0.6689777639965201,0.9945929580201319
