training_size,test_RelL2_w,test_MAE_w,test_MAPE_w,test_RMSE_w,test_AvgCosSim_w
20,0.15692068217579322,0.4250353802450899,8.969129630374544,1.3536387852269238,0.9808078710301302
40,0.1288735385732517,0.31612897878065693,6.5436618249158185,1.123171368973864,0.9864710710136395
60,0.12064243198089838,0.2907398329907128,5.978605590880147,1.0729475936124837,0.9878586212100009
80,0.11209471859173037,0.26686196071222074,5.436652200883658,1.0364972736261469,0.9890196215497353
100,0.10961820107446606,0.2566312394769729,5.19171324618891,1.0172907960151076,0.9895612269940331
120,0.10623361194046888,0.24147929647355446,4.870443799536923,0.9781457030030047,0.9902966745325074
140,0.0915887876848317,0.18122369282051132,3.7676393756087023,0.7739631932499522,0.9929110965829979
160,0.09254544313699643,0.18403434357117157,3.8485219317500214,0.776847918370991,0.9928176214965946
180,0.09108642812903733,0.17932822787308336,3.7527023601483287,0.7629870284381187,0.9929959255500831
200,0.08927128853353536,0.17377462001804792,3.6211592818615244,0.756148029492324,0.9931456341262022
300,0.08264633531320216,0.1561268685148215,3.244423817546809,0.7064728686534217,0.9940269630023179
400,0.07811021970208228,0.14276426520142513,2.980876682099966,0.659631267131177,0.9946465283137733
