N,rho,mean_rel_error,std_rel_error,n_valid
3,1,0.3149,0.0527,20
3,2,0.0004,0.0002,20
3,3,0.1156,0.0199,20
4,1,0.3142,0.0526,20
4,2,0.0003,0.0001,20
4,3,0.1156,0.0200,20
5,1,0.3135,0.0507,20
5,2,0.0003,0.0001,20
5,3,0.1144,0.0213,20
6,1,0.3130,0.0485,20
6,2,0.0003,0.0001,20
6,3,0.1167,0.0220,20
7,1,0.3162,0.0498,20
7,2,0.0006,0.0009,20
7,3,0.1196,0.0237,20
8,1,0.3161,0.0537,20
8,2,0.0004,0.0001,20
8,3,0.1179,0.0232,20
9,1,0.3157,0.0524,20
9,2,0.0004,0.0001,20
9,3,0.1183,0.0231,20
10,1,0.3177,0.0526,20
10,2,0.0004,0.0002,20
10,3,0.1195,0.0232,20
