N,rho,mean_rel_error,std_rel_error,n_valid
3,1,1.0639,0.0726,20
3,2,0.0073,0.0042,20
3,3,0.6265,0.0621,20
4,1,1.0584,0.0673,20
4,2,0.0064,0.0038,20
4,3,0.6275,0.0636,20
5,1,1.0637,0.0735,20
5,2,0.0062,0.0037,20
5,3,0.6292,0.0664,20
6,1,1.0727,0.0683,20
6,2,0.0069,0.0042,20
6,3,0.6348,0.0696,20
7,1,1.0850,0.0683,20
7,2,0.0115,0.0148,20
7,3,0.6435,0.0773,20
8,1,1.0798,0.0752,20
8,2,0.0080,0.0042,20
8,3,0.6370,0.0741,20
9,1,1.0754,0.0753,20
9,2,0.0073,0.0034,20
9,3,0.6390,0.0729,20
10,1,1.0881,0.0695,20
10,2,0.0072,0.0045,20
10,3,0.6427,0.0740,20
