N,rho,mean_rel_error,std_rel_error,n_valid
3,1,33.2121,4.2337,20
3,2,0.0378,0.0186,20
3,3,12.2220,1.7543,20
4,1,33.1342,4.1627,20
4,2,0.0324,0.0117,20
4,3,12.2261,1.7696,20
5,1,33.0757,4.1201,20
5,2,0.0310,0.0110,20
5,3,12.1139,1.9136,20
6,1,33.1160,4.0377,20
6,2,0.0340,0.0141,20
6,3,12.3712,2.0296,20
7,1,33.4091,4.1685,20
7,2,0.0579,0.0750,20
7,3,12.7996,2.2542,20
8,1,33.3161,4.4111,20
8,2,0.0377,0.0144,20
8,3,12.5853,2.1774,20
9,1,33.2776,4.3096,20
9,2,0.0356,0.0095,20
9,3,12.6110,2.1675,20
10,1,33.4816,4.3370,20
10,2,0.0353,0.0145,20
10,3,12.7307,2.1897,20
