N,rho,mean_rel_error,std_rel_error,n_valid
2,1,7.2594,1.8363,20
2,2,0.0028,0.0042,20
2,3,1.4673,0.6175,20
3,1,7.0108,1.7715,20
3,2,0.0029,0.0042,20
3,3,0.8620,0.2853,20
4,1,7.0035,1.8470,20
4,2,0.0029,0.0042,20
4,3,0.8639,0.2899,20
5,1,6.9278,1.6496,20
5,2,0.0029,0.0042,20
5,3,0.8536,0.3131,20
6,1,7.0562,1.5979,20
6,2,0.0029,0.0041,20
6,3,0.8897,0.3382,20
7,1,7.2401,1.7378,20
7,2,0.0027,0.0044,20
7,3,0.9649,0.3956,20
8,1,7.2727,1.9975,20
8,2,0.0029,0.0042,20
8,3,0.9307,0.3749,20
9,1,7.2532,1.8756,20
9,2,0.0029,0.0042,20
9,3,0.9347,0.3720,20
10,1,7.4182,1.9112,20
10,2,0.0029,0.0042,20
10,3,0.9532,0.3824,20
